Class 5 (Closest class: 3)
Radius	k1	k2	Reliability	Beta Error	Jm	Optimal
--------------------------------------------------------------------------------
    1	   1	   0	0,001	0,000	0,000	False
    2	   2	   0	0,001	0,000	0,000	False
    3	   8	   0	0,005	0,000	0,000	False
    4	  15	   0	0,009	0,000	0,000	False
    5	  25	   0	0,016	0,000	0,001	False
    6	  44	   0	0,028	0,000	0,002	False
    7	  71	   0	0,044	0,000	0,006	False
    8	  97	   0	0,061	0,000	0,011	False
    9	 138	   0	0,086	0,000	0,021	False
   10	 182	   0	0,114	0,000	0,037	False
   11	 236	   0	0,147	0,000	0,063	False
   12	 305	   0	0,191	0,000	0,106	False
   13	 347	   0	0,217	0,000	0,138	False
   14	 417	   0	0,261	0,000	0,200	False
   15	 498	   0	0,311	0,000	0,289	False
   16	 570	   0	0,356	0,000	0,383	False
   17	 645	   0	0,403	0,000	0,497	False
   18	 705	   0	0,441	0,000	0,601	False
   19	 780	   0	0,487	0,000	0,749	False
   20	 844	   0	0,527	0,000	0,892	True
   21	 925	   0	0,578	0,000	1,099	True
   22	 988	   0	0,618	0,000	1,283	True
   23	1038	   0	0,649	0,000	1,445	True
   24	1100	   0	0,688	0,000	1,670	True
   25	1157	   0	0,723	0,000	1,904	True
   26	1198	   0	0,749	0,000	2,092	True
   27	1240	   0	0,775	0,000	2,305	True
   28	1271	   0	0,794	0,000	2,478	True
   29	1299	   0	0,812	0,000	2,647	True
   30	1330	   1	0,831	0,001	2,846	True
   31	1354	   1	0,846	0,001	3,020	True
   32	1383	   1	0,864	0,001	3,251	True
   33	1398	   2	0,874	0,001	3,373	True
   34	1412	   2	0,882	0,001	3,502	True
   35	1423	   2	0,889	0,001	3,610	True
   36	1436	   2	0,897	0,001	3,745	True
   37	1449	   3	0,906	0,002	3,879	True
   38	1461	   4	0,913	0,003	4,009	True
   39	1469	   5	0,918	0,003	4,097	True
   40	1474	   7	0,921	0,004	4,136	True
   41	1480	  16	0,925	0,010	4,097	True
   42	1493	  22	0,933	0,014	4,189	True
   43	1496	  28	0,935	0,018	4,149	True
   44	1506	  42	0,941	0,026	4,097	True
   45	1513	  60	0,946	0,037	3,961	True
   46	1521	  87	0,951	0,054	3,745	True
   47	1527	 126	0,954	0,079	3,418	True
   48	1533	 169	0,958	0,106	3,105	True
   49	1540	 231	0,963	0,144	2,712	True
   50	1542	 331	0,964	0,207	2,156	True
   51	1549	 424	0,968	0,265	1,769	True
   52	1555	 523	0,972	0,327	1,425	True
   53	1560	 620	0,975	0,388	1,141	True
   54	1562	 685	0,976	0,428	0,973	True
   55	1567	 750	0,979	0,469	0,829	True
   56	1571	 828	0,982	0,517	0,673	False
   57	1573	 888	0,983	0,555	0,565	False
   58	1573	 961	0,983	0,601	0,444	False
   59	1576	1023	0,985	0,639	0,359	False
   60	1579	1081	0,987	0,676	0,289	False
   61	1582	1135	0,989	0,709	0,231	False
   62	1582	1192	0,989	0,745	0,175	False
   63	1582	1244	0,989	0,777	0,131	False
   64	1584	1300	0,990	0,812	0,092	False
   65	1587	1355	0,992	0,847	0,061	False
   66	1587	1397	0,992	0,873	0,041	False
   67	1588	1425	0,993	0,891	0,030	False
   68	1590	1457	0,994	0,911	0,020	False
   69	1592	1486	0,995	0,929	0,013	False
   70	1592	1513	0,995	0,946	0,007	False
   71	1592	1535	0,995	0,959	0,004	False
   72	1592	1549	0,995	0,968	0,002	False
   73	1592	1560	0,995	0,975	0,001	False
   74	1592	1568	0,995	0,980	0,001	False
   75	1593	1574	0,996	0,984	0,000	False
   76	1594	1576	0,996	0,985	0,000	False
   77	1595	1580	0,997	0,988	0,000	False
   78	1596	1583	0,998	0,989	0,000	False
   79	1596	1586	0,998	0,991	0,000	False
   80	1596	1590	0,998	0,994	0,000	False
   81	1596	1592	0,998	0,995	0,000	False
   82	1597	1594	0,998	0,996	0,000	False
   83	1598	1596	0,999	0,998	0,000	False
   84	1598	1598	0,999	0,999	0,000	False
   85	1598	1599	0,999	0,999	0,000	False
   86	1598	1600	0,999	1,000	0,000	False
   87	1598	1600	0,999	1,000	0,000	False
   88	1598	1600	0,999	1,000	0,000	False
   89	1599	1600	0,999	1,000	0,000	False
   90	1599	1600	0,999	1,000	0,000	False
   91	1599	1600	0,999	1,000	0,000	False
   92	1599	1600	0,999	1,000	0,000	False
   93	1599	1600	0,999	1,000	0,000	False
   94	1599	1600	0,999	1,000	0,000	False
   95	1599	1600	0,999	1,000	0,000	False
   96	1599	1600	0,999	1,000	0,000	False
   97	1599	1600	0,999	1,000	0,000	False
   98	1599	1600	0,999	1,000	0,000	False
   99	1599	1600	0,999	1,000	0,000	False
  100	1600	1600	1,000	1,000	0,000	False
  101	1600	1600	1,000	1,000	0,000	False
  102	1600	1600	1,000	1,000	0,000	False
  103	1600	1600	1,000	1,000	0,000	False
  104	1600	1600	1,000	1,000	0,000	False
  105	1600	1600	1,000	1,000	0,000	False
  106	1600	1600	1,000	1,000	0,000	False
  107	1600	1600	1,000	1,000	0,000	False
  108	1600	1600	1,000	1,000	0,000	False
  109	1600	1600	1,000	1,000	0,000	False
  110	1600	1600	1,000	1,000	0,000	False
  111	1600	1600	1,000	1,000	0,000	False
  112	1600	1600	1,000	1,000	0,000	False
  113	1600	1600	1,000	1,000	0,000	False
  114	1600	1600	1,000	1,000	0,000	False
  115	1600	1600	1,000	1,000	0,000	False
  116	1600	1600	1,000	1,000	0,000	False
  117	1600	1600	1,000	1,000	0,000	False
  118	1600	1600	1,000	1,000	0,000	False
  119	1600	1600	1,000	1,000	0,000	False
  120	1600	1600	1,000	1,000	0,000	False
  121	1600	1600	1,000	1,000	0,000	False
  122	1600	1600	1,000	1,000	0,000	False
  123	1600	1600	1,000	1,000	0,000	False
  124	1600	1600	1,000	1,000	0,000	False
  125	1600	1600	1,000	1,000	0,000	False
  126	1600	1600	1,000	1,000	0,000	False
  127	1600	1600	1,000	1,000	0,000	False
  128	1600	1600	1,000	1,000	0,000	False
  129	1600	1600	1,000	1,000	0,000	False
  130	1600	1600	1,000	1,000	0,000	False
  131	1600	1600	1,000	1,000	0,000	False
  132	1600	1600	1,000	1,000	0,000	False
  133	1600	1600	1,000	1,000	0,000	False
  134	1600	1600	1,000	1,000	0,000	False
  135	1600	1600	1,000	1,000	0,000	False
  136	1600	1600	1,000	1,000	0,000	False
  137	1600	1600	1,000	1,000	0,000	False
  138	1600	1600	1,000	1,000	0,000	False
  139	1600	1600	1,000	1,000	0,000	False
  140	1600	1600	1,000	1,000	0,000	False
  141	1600	1600	1,000	1,000	0,000	False
  142	1600	1600	1,000	1,000	0,000	False
  143	1600	1600	1,000	1,000	0,000	False
  144	1600	1600	1,000	1,000	0,000	False
  145	1600	1600	1,000	1,000	0,000	False
  146	1600	1600	1,000	1,000	0,000	False
  147	1600	1600	1,000	1,000	0,000	False
  148	1600	1600	1,000	1,000	0,000	False
  149	1600	1600	1,000	1,000	0,000	False
  150	1600	1600	1,000	1,000	0,000	False
  151	1600	1600	1,000	1,000	0,000	False
  152	1600	1600	1,000	1,000	0,000	False
  153	1600	1600	1,000	1,000	0,000	False
  154	1600	1600	1,000	1,000	0,000	False
  155	1600	1600	1,000	1,000	0,000	False
  156	1600	1600	1,000	1,000	0,000	False
  157	1600	1600	1,000	1,000	0,000	False
  158	1600	1600	1,000	1,000	0,000	False
  159	1600	1600	1,000	1,000	0,000	False
  160	1600	1600	1,000	1,000	0,000	False
  161	1600	1600	1,000	1,000	0,000	False
  162	1600	1600	1,000	1,000	0,000	False
  163	1600	1600	1,000	1,000	0,000	False
  164	1600	1600	1,000	1,000	0,000	False
  165	1600	1600	1,000	1,000	0,000	False
  166	1600	1600	1,000	1,000	0,000	False
  167	1600	1600	1,000	1,000	0,000	False
  168	1600	1600	1,000	1,000	0,000	False
  169	1600	1600	1,000	1,000	0,000	False
  170	1600	1600	1,000	1,000	0,000	False
  171	1600	1600	1,000	1,000	0,000	False
  172	1600	1600	1,000	1,000	0,000	False
  173	1600	1600	1,000	1,000	0,000	False
  174	1600	1600	1,000	1,000	0,000	False
  175	1600	1600	1,000	1,000	0,000	False
  176	1600	1600	1,000	1,000	0,000	False
  177	1600	1600	1,000	1,000	0,000	False
  178	1600	1600	1,000	1,000	0,000	False
  179	1600	1600	1,000	1,000	0,000	False
  180	1600	1600	1,000	1,000	0,000	False
  181	1600	1600	1,000	1,000	0,000	False
  182	1600	1600	1,000	1,000	0,000	False
  183	1600	1600	1,000	1,000	0,000	False
  184	1600	1600	1,000	1,000	0,000	False
  185	1600	1600	1,000	1,000	0,000	False
  186	1600	1600	1,000	1,000	0,000	False
  187	1600	1600	1,000	1,000	0,000	False
  188	1600	1600	1,000	1,000	0,000	False
  189	1600	1600	1,000	1,000	0,000	False
  190	1600	1600	1,000	1,000	0,000	False
  191	1600	1600	1,000	1,000	0,000	False
  192	1600	1600	1,000	1,000	0,000	False
  193	1600	1600	1,000	1,000	0,000	False
  194	1600	1600	1,000	1,000	0,000	False
  195	1600	1600	1,000	1,000	0,000	False
  196	1600	1600	1,000	1,000	0,000	False
  197	1600	1600	1,000	1,000	0,000	False
  198	1600	1600	1,000	1,000	0,000	False
  199	1600	1600	1,000	1,000	0,000	False
  200	1600	1600	1,000	1,000	0,000	False
  201	1600	1600	1,000	1,000	0,000	False
  202	1600	1600	1,000	1,000	0,000	False
  203	1600	1600	1,000	1,000	0,000	False
  204	1600	1600	1,000	1,000	0,000	False
  205	1600	1600	1,000	1,000	0,000	False
  206	1600	1600	1,000	1,000	0,000	False
  207	1600	1600	1,000	1,000	0,000	False
  208	1600	1600	1,000	1,000	0,000	False
  209	1600	1600	1,000	1,000	0,000	False
  210	1600	1600	1,000	1,000	0,000	False
  211	1600	1600	1,000	1,000	0,000	False
  212	1600	1600	1,000	1,000	0,000	False
  213	1600	1600	1,000	1,000	0,000	False
  214	1600	1600	1,000	1,000	0,000	False
  215	1600	1600	1,000	1,000	0,000	False
  216	1600	1600	1,000	1,000	0,000	False
  217	1600	1600	1,000	1,000	0,000	False
  218	1600	1600	1,000	1,000	0,000	False
  219	1600	1600	1,000	1,000	0,000	False
  220	1600	1600	1,000	1,000	0,000	False
  221	1600	1600	1,000	1,000	0,000	False
  222	1600	1600	1,000	1,000	0,000	False
  223	1600	1600	1,000	1,000	0,000	False
  224	1600	1600	1,000	1,000	0,000	False
  225	1600	1600	1,000	1,000	0,000	False
  226	1600	1600	1,000	1,000	0,000	False
  227	1600	1600	1,000	1,000	0,000	False
  228	1600	1600	1,000	1,000	0,000	False
  229	1600	1600	1,000	1,000	0,000	False
  230	1600	1600	1,000	1,000	0,000	False
  231	1600	1600	1,000	1,000	0,000	False
  232	1600	1600	1,000	1,000	0,000	False
  233	1600	1600	1,000	1,000	0,000	False
  234	1600	1600	1,000	1,000	0,000	False
  235	1600	1600	1,000	1,000	0,000	False
  236	1600	1600	1,000	1,000	0,000	False
  237	1600	1600	1,000	1,000	0,000	False
  238	1600	1600	1,000	1,000	0,000	False
  239	1600	1600	1,000	1,000	0,000	False
  240	1600	1600	1,000	1,000	0,000	False
  241	1600	1600	1,000	1,000	0,000	False
  242	1600	1600	1,000	1,000	0,000	False
  243	1600	1600	1,000	1,000	0,000	False
  244	1600	1600	1,000	1,000	0,000	False
  245	1600	1600	1,000	1,000	0,000	False
  246	1600	1600	1,000	1,000	0,000	False
  247	1600	1600	1,000	1,000	0,000	False
  248	1600	1600	1,000	1,000	0,000	False
  249	1600	1600	1,000	1,000	0,000	False
  250	1600	1600	1,000	1,000	0,000	False
  251	1600	1600	1,000	1,000	0,000	False
  252	1600	1600	1,000	1,000	0,000	False
  253	1600	1600	1,000	1,000	0,000	False
  254	1600	1600	1,000	1,000	0,000	False
  255	1600	1600	1,000	1,000	0,000	False
  256	1600	1600	1,000	1,000	0,000	False
  257	1600	1600	1,000	1,000	0,000	False
  258	1600	1600	1,000	1,000	0,000	False
  259	1600	1600	1,000	1,000	0,000	False
  260	1600	1600	1,000	1,000	0,000	False
  261	1600	1600	1,000	1,000	0,000	False
  262	1600	1600	1,000	1,000	0,000	False
  263	1600	1600	1,000	1,000	0,000	False
  264	1600	1600	1,000	1,000	0,000	False
  265	1600	1600	1,000	1,000	0,000	False
  266	1600	1600	1,000	1,000	0,000	False
  267	1600	1600	1,000	1,000	0,000	False
  268	1600	1600	1,000	1,000	0,000	False
  269	1600	1600	1,000	1,000	0,000	False
  270	1600	1600	1,000	1,000	0,000	False
  271	1600	1600	1,000	1,000	0,000	False
  272	1600	1600	1,000	1,000	0,000	False
  273	1600	1600	1,000	1,000	0,000	False
  274	1600	1600	1,000	1,000	0,000	False
  275	1600	1600	1,000	1,000	0,000	False
  276	1600	1600	1,000	1,000	0,000	False
  277	1600	1600	1,000	1,000	0,000	False
  278	1600	1600	1,000	1,000	0,000	False
  279	1600	1600	1,000	1,000	0,000	False
  280	1600	1600	1,000	1,000	0,000	False
  281	1600	1600	1,000	1,000	0,000	False
  282	1600	1600	1,000	1,000	0,000	False
  283	1600	1600	1,000	1,000	0,000	False
  284	1600	1600	1,000	1,000	0,000	False
  285	1600	1600	1,000	1,000	0,000	False
  286	1600	1600	1,000	1,000	0,000	False
  287	1600	1600	1,000	1,000	0,000	False
  288	1600	1600	1,000	1,000	0,000	False
  289	1600	1600	1,000	1,000	0,000	False
  290	1600	1600	1,000	1,000	0,000	False
  291	1600	1600	1,000	1,000	0,000	False
  292	1600	1600	1,000	1,000	0,000	False
  293	1600	1600	1,000	1,000	0,000	False
  294	1600	1600	1,000	1,000	0,000	False
  295	1600	1600	1,000	1,000	0,000	False
  296	1600	1600	1,000	1,000	0,000	False
  297	1600	1600	1,000	1,000	0,000	False
  298	1600	1600	1,000	1,000	0,000	False
  299	1600	1600	1,000	1,000	0,000	False
  300	1600	1600	1,000	1,000	0,000	False
  301	1600	1600	1,000	1,000	0,000	False
  302	1600	1600	1,000	1,000	0,000	False
  303	1600	1600	1,000	1,000	0,000	False
  304	1600	1600	1,000	1,000	0,000	False
  305	1600	1600	1,000	1,000	0,000	False
  306	1600	1600	1,000	1,000	0,000	False
  307	1600	1600	1,000	1,000	0,000	False
  308	1600	1600	1,000	1,000	0,000	False
  309	1600	1600	1,000	1,000	0,000	False
  310	1600	1600	1,000	1,000	0,000	False
  311	1600	1600	1,000	1,000	0,000	False
  312	1600	1600	1,000	1,000	0,000	False
  313	1600	1600	1,000	1,000	0,000	False
  314	1600	1600	1,000	1,000	0,000	False
  315	1600	1600	1,000	1,000	0,000	False
  316	1600	1600	1,000	1,000	0,000	False
  317	1600	1600	1,000	1,000	0,000	False
  318	1600	1600	1,000	1,000	0,000	False
  319	1600	1600	1,000	1,000	0,000	False
  320	1600	1600	1,000	1,000	0,000	False
  321	1600	1600	1,000	1,000	0,000	False
  322	1600	1600	1,000	1,000	0,000	False
  323	1600	1600	1,000	1,000	0,000	False
  324	1600	1600	1,000	1,000	0,000	False
  325	1600	1600	1,000	1,000	0,000	False
  326	1600	1600	1,000	1,000	0,000	False
  327	1600	1600	1,000	1,000	0,000	False
  328	1600	1600	1,000	1,000	0,000	False
  329	1600	1600	1,000	1,000	0,000	False
  330	1600	1600	1,000	1,000	0,000	False
  331	1600	1600	1,000	1,000	0,000	False
  332	1600	1600	1,000	1,000	0,000	False
  333	1600	1600	1,000	1,000	0,000	False
  334	1600	1600	1,000	1,000	0,000	False
  335	1600	1600	1,000	1,000	0,000	False
  336	1600	1600	1,000	1,000	0,000	False
  337	1600	1600	1,000	1,000	0,000	False
  338	1600	1600	1,000	1,000	0,000	False
  339	1600	1600	1,000	1,000	0,000	False
  340	1600	1600	1,000	1,000	0,000	False
  341	1600	1600	1,000	1,000	0,000	False
  342	1600	1600	1,000	1,000	0,000	False
  343	1600	1600	1,000	1,000	0,000	False
  344	1600	1600	1,000	1,000	0,000	False
  345	1600	1600	1,000	1,000	0,000	False
  346	1600	1600	1,000	1,000	0,000	False
  347	1600	1600	1,000	1,000	0,000	False
  348	1600	1600	1,000	1,000	0,000	False
  349	1600	1600	1,000	1,000	0,000	False
  350	1600	1600	1,000	1,000	0,000	False
  351	1600	1600	1,000	1,000	0,000	False
  352	1600	1600	1,000	1,000	0,000	False
  353	1600	1600	1,000	1,000	0,000	False
  354	1600	1600	1,000	1,000	0,000	False
  355	1600	1600	1,000	1,000	0,000	False
  356	1600	1600	1,000	1,000	0,000	False
  357	1600	1600	1,000	1,000	0,000	False
  358	1600	1600	1,000	1,000	0,000	False
  359	1600	1600	1,000	1,000	0,000	False
